19:14:00.685: Position 1: FM90
19:19:41.724: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.726: Awarded: 0 pts
19:19:41.729: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.732: Awarded: 6 pts
19:19:41.736: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.743: Awarded: 0 pts
19:19:41.747: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.753: Awarded: 0 pts
19:19:41.756: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.759: Awarded: 6 pts
19:19:41.763: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.765: Awarded: 6 pts
19:19:41.816: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.822: Awarded: 0 pts
19:19:41.823: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.825: Awarded: 6 pts
19:19:41.827: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.836: Awarded: 0 pts
19:19:41.851: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.858: Awarded: 0 pts
19:19:41.862: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.864: Awarded: 6 pts
19:19:41.867: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.871: Awarded: 6 pts
19:19:41.928: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.930: Awarded: 0 pts
19:19:41.937: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.941: Awarded: 6 pts
19:19:41.943: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.948: Awarded: 0 pts
19:19:41.955: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.960: Awarded: 0 pts
19:19:41.962: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.964: Awarded: 6 pts
19:19:41.966: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.971: Awarded: 6 pts
19:19:42.069: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.071: Awarded: 0 pts
19:19:42.074: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.076: Awarded: 6 pts
19:19:42.085: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.089: Awarded: 0 pts
19:19:42.091: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.094: Awarded: 0 pts
19:19:42.100: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.101: Awarded: 6 pts
19:19:42.103: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.109: Awarded: 6 pts
19:19:42.176: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.178: Awarded: 0 pts
19:19:42.180: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.181: Awarded: 6 pts
19:19:42.183: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.185: Awarded: 0 pts
19:19:42.188: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.191: Awarded: 0 pts
19:19:42.193: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.196: Awarded: 6 pts
19:19:42.201: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.205: Awarded: 6 pts
19:19:42.332: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.334: Awarded: 0 pts
19:19:42.336: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.337: Awarded: 6 pts
19:19:42.339: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.344: Awarded: 0 pts
19:19:42.349: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.353: Awarded: 0 pts
19:19:42.359: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.366: Awarded: 6 pts
19:19:42.368: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.379: Awarded: 6 pts
19:19:42.455: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.457: Awarded: 0 pts
19:19:42.458: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.460: Awarded: 6 pts
19:19:42.467: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.475: Awarded: 0 pts
19:19:42.491: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.497: Awarded: 0 pts
19:19:42.516: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.526: Awarded: 6 pts
19:19:42.532: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.541: Awarded: 6 pts
19:19:42.624: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.629: Awarded: 0 pts
19:19:42.633: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.638: Awarded: 6 pts
19:19:42.646: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.648: Awarded: 0 pts
19:19:42.654: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.661: Awarded: 0 pts
19:19:42.664: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.669: Awarded: 6 pts
19:19:42.670: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.673: Awarded: 6 pts
19:19:42.692: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.694: Awarded: 0 pts
19:19:42.698: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.700: Awarded: 6 pts
19:19:42.706: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.709: Awarded: 0 pts
19:19:42.712: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.715: Awarded: 0 pts
19:19:42.717: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.721: Awarded: 6 pts
19:19:42.724: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.726: Awarded: 6 pts
19:19:42.821: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.825: Awarded: 0 pts
19:19:42.840: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.844: Awarded: 6 pts
19:19:42.848: Message received: teamAwesome,p@55w04d,3,HH88
19:19:42.854: Awarded: 0 pts
19:19:42.860: Message received: teamAwesome,p@55w04d,4,AH77
19:19:42.867: Awarded: 0 pts
19:19:42.874: Message received: teamAwesome,p@55w04d,5,HA91
19:19:42.876: Awarded: 6 pts
19:19:42.882: Message received: teamAwesome,p@55w04d,6,PV49
19:19:42.885: Awarded: 6 pts
19:19:42.982: Message received: teamAwesome,p@55w04d,1,HH88
19:19:42.986: Awarded: 0 pts
19:19:42.989: Message received: teamAwesome,p@55w04d,2,MW25
19:19:42.992: Awarded: 6 pts
19:19:43.000: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.008: Awarded: 0 pts
19:19:43.013: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.018: Awarded: 0 pts
19:19:43.025: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.028: Awarded: 6 pts
19:19:43.035: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.039: Awarded: 6 pts
19:19:43.095: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.098: Awarded: 0 pts
19:19:43.101: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.104: Awarded: 6 pts
19:19:43.111: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.116: Awarded: 0 pts
19:19:43.123: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.129: Awarded: 0 pts
19:19:43.133: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.136: Awarded: 6 pts
19:19:43.140: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.145: Awarded: 6 pts
19:19:43.242: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.244: Awarded: 0 pts
19:19:43.246: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.248: Awarded: 6 pts
19:19:43.251: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.261: Awarded: 0 pts
19:19:43.264: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.266: Awarded: 0 pts
19:19:43.267: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.268: Awarded: 6 pts
19:19:43.271: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.275: Awarded: 6 pts
19:19:43.387: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.389: Awarded: 0 pts
19:19:43.390: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.392: Awarded: 6 pts
19:19:43.395: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.400: Awarded: 0 pts
19:19:43.404: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.407: Awarded: 0 pts
19:19:43.411: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.416: Awarded: 6 pts
19:19:43.423: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.427: Awarded: 6 pts
19:19:43.539: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.542: Awarded: 0 pts
19:19:43.547: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.550: Awarded: 6 pts
19:19:43.559: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.569: Awarded: 0 pts
19:19:43.573: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.576: Awarded: 0 pts
19:19:43.578: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.584: Awarded: 6 pts
19:19:43.586: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.588: Awarded: 6 pts
19:19:43.685: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.688: Awarded: 0 pts
19:19:43.690: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.691: Awarded: 6 pts
19:19:43.695: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.697: Awarded: 0 pts
19:19:43.699: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.702: Awarded: 0 pts
19:19:43.704: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.711: Awarded: 6 pts
19:19:43.715: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.718: Awarded: 6 pts
19:19:43.783: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.787: Awarded: 0 pts
19:19:43.790: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.794: Awarded: 6 pts
19:19:43.799: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.806: Awarded: 0 pts
19:19:43.813: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.815: Awarded: 0 pts
19:19:43.818: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.822: Awarded: 6 pts
19:19:43.828: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.830: Awarded: 6 pts
19:19:43.906: Message received: teamAwesome,p@55w04d,1,HH88
19:19:43.909: Awarded: 0 pts
19:19:43.910: Message received: teamAwesome,p@55w04d,2,MW25
19:19:43.912: Awarded: 6 pts
19:19:43.913: Message received: teamAwesome,p@55w04d,3,HH88
19:19:43.915: Awarded: 0 pts
19:19:43.917: Message received: teamAwesome,p@55w04d,4,AH77
19:19:43.923: Awarded: 0 pts
19:19:43.931: Message received: teamAwesome,p@55w04d,5,HA91
19:19:43.937: Awarded: 6 pts
19:19:43.948: Message received: teamAwesome,p@55w04d,6,PV49
19:19:43.954: Awarded: 6 pts
19:19:44.073: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.076: Awarded: 0 pts
19:19:44.079: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.080: Awarded: 6 pts
19:19:44.086: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.092: Awarded: 0 pts
19:19:44.098: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.105: Awarded: 0 pts
19:19:44.108: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.112: Awarded: 6 pts
19:19:44.114: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.116: Awarded: 6 pts
19:19:44.187: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.190: Awarded: 0 pts
19:19:44.207: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.225: Awarded: 6 pts
19:19:44.230: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.236: Awarded: 0 pts
19:19:44.238: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.241: Awarded: 0 pts
19:19:44.243: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.246: Awarded: 6 pts
19:19:44.249: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.252: Awarded: 6 pts
19:19:44.300: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.302: Awarded: 0 pts
19:19:44.306: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.308: Awarded: 6 pts
19:19:44.314: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.320: Awarded: 0 pts
19:19:44.324: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.326: Awarded: 0 pts
19:19:44.329: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.338: Awarded: 6 pts
19:19:44.343: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.349: Awarded: 6 pts
19:19:44.446: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.448: Awarded: 0 pts
19:19:44.451: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.453: Awarded: 6 pts
19:19:44.455: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.460: Awarded: 0 pts
19:19:44.466: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.472: Awarded: 0 pts
19:19:44.480: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.481: Awarded: 6 pts
19:19:44.485: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.491: Awarded: 6 pts
19:19:44.574: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.578: Awarded: 0 pts
19:19:44.592: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.597: Awarded: 6 pts
19:19:44.606: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.608: Awarded: 0 pts
19:19:44.612: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.618: Awarded: 0 pts
19:19:44.622: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.625: Awarded: 6 pts
19:19:44.631: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.633: Awarded: 6 pts
19:19:44.781: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.785: Awarded: 0 pts
19:19:44.788: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.792: Awarded: 6 pts
19:19:44.795: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.797: Awarded: 0 pts
19:19:44.799: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.801: Awarded: 0 pts
19:19:44.810: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.814: Awarded: 6 pts
19:19:44.816: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.820: Awarded: 6 pts
19:19:44.882: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.884: Awarded: 0 pts
19:19:44.886: Message received: teamAwesome,p@55w04d,2,MW25
19:19:44.888: Awarded: 6 pts
19:19:44.890: Message received: teamAwesome,p@55w04d,3,HH88
19:19:44.892: Awarded: 0 pts
19:19:44.903: Message received: teamAwesome,p@55w04d,4,AH77
19:19:44.910: Awarded: 0 pts
19:19:44.921: Message received: teamAwesome,p@55w04d,5,HA91
19:19:44.929: Awarded: 6 pts
19:19:44.935: Message received: teamAwesome,p@55w04d,6,PV49
19:19:44.944: Awarded: 6 pts
19:19:44.996: Message received: teamAwesome,p@55w04d,1,HH88
19:19:44.999: Awarded: 0 pts
19:19:45.004: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.006: Awarded: 6 pts
19:19:45.012: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.015: Awarded: 0 pts
19:19:45.018: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.023: Awarded: 0 pts
19:19:45.028: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.030: Awarded: 6 pts
19:19:45.033: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.036: Awarded: 6 pts
19:19:45.118: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.122: Awarded: 0 pts
19:19:45.124: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.126: Awarded: 6 pts
19:19:45.134: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.138: Awarded: 0 pts
19:19:45.144: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.151: Awarded: 0 pts
19:19:45.157: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.162: Awarded: 6 pts
19:19:45.166: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.171: Awarded: 6 pts
19:19:45.303: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.305: Awarded: 0 pts
19:19:45.307: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.308: Awarded: 6 pts
19:19:45.310: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.316: Awarded: 0 pts
19:19:45.319: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.321: Awarded: 0 pts
19:19:45.323: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.326: Awarded: 6 pts
19:19:45.340: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.343: Awarded: 6 pts
19:19:45.406: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.409: Awarded: 0 pts
19:19:45.412: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.414: Awarded: 6 pts
19:19:45.417: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.420: Awarded: 0 pts
19:19:45.426: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.431: Awarded: 0 pts
19:19:45.434: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.444: Awarded: 6 pts
19:19:45.447: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.450: Awarded: 6 pts
19:19:45.525: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.527: Awarded: 0 pts
19:19:45.530: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.533: Awarded: 6 pts
19:19:45.535: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.538: Awarded: 0 pts
19:19:45.544: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.549: Awarded: 0 pts
19:19:45.553: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.557: Awarded: 6 pts
19:19:45.562: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.566: Awarded: 6 pts
19:19:45.693: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.695: Awarded: 0 pts
19:19:45.697: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.700: Awarded: 6 pts
19:19:45.702: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.709: Awarded: 0 pts
19:19:45.712: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.715: Awarded: 0 pts
19:19:45.717: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.720: Awarded: 6 pts
19:19:45.723: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.726: Awarded: 6 pts
19:19:45.849: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.852: Awarded: 0 pts
19:19:45.854: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.862: Awarded: 6 pts
19:19:45.868: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.873: Awarded: 0 pts
19:19:45.877: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.884: Awarded: 0 pts
19:19:45.888: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.890: Awarded: 6 pts
19:19:45.892: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.901: Awarded: 6 pts
19:19:45.933: Message received: teamAwesome,p@55w04d,1,HH88
19:19:45.935: Awarded: 0 pts
19:19:45.943: Message received: teamAwesome,p@55w04d,2,MW25
19:19:45.949: Awarded: 6 pts
19:19:45.950: Message received: teamAwesome,p@55w04d,3,HH88
19:19:45.952: Awarded: 0 pts
19:19:45.955: Message received: teamAwesome,p@55w04d,4,AH77
19:19:45.967: Awarded: 0 pts
19:19:45.970: Message received: teamAwesome,p@55w04d,5,HA91
19:19:45.976: Awarded: 6 pts
19:19:45.978: Message received: teamAwesome,p@55w04d,6,PV49
19:19:45.980: Awarded: 6 pts
19:19:46.046: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.049: Awarded: 0 pts
19:19:46.051: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.061: Awarded: 6 pts
19:19:46.068: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.077: Awarded: 0 pts
19:19:46.081: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.085: Awarded: 0 pts
19:19:46.088: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.092: Awarded: 6 pts
19:19:46.094: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.100: Awarded: 6 pts
19:19:46.203: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.206: Awarded: 0 pts
19:19:46.209: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.213: Awarded: 6 pts
19:19:46.216: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.220: Awarded: 0 pts
19:19:46.227: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.231: Awarded: 0 pts
19:19:46.241: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.246: Awarded: 6 pts
19:19:46.249: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.251: Awarded: 6 pts
19:19:46.333: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.336: Awarded: 0 pts
19:19:46.339: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.342: Awarded: 6 pts
19:19:46.344: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.347: Awarded: 0 pts
19:19:46.357: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.362: Awarded: 0 pts
19:19:46.365: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.368: Awarded: 6 pts
19:19:46.371: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.374: Awarded: 6 pts
19:19:46.478: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.480: Awarded: 0 pts
19:19:46.482: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.483: Awarded: 6 pts
19:19:46.485: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.487: Awarded: 0 pts
19:19:46.489: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.491: Awarded: 0 pts
19:19:46.493: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.508: Awarded: 6 pts
19:19:46.511: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.515: Awarded: 6 pts
19:19:46.602: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.604: Awarded: 0 pts
19:19:46.609: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.614: Awarded: 6 pts
19:19:46.622: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.624: Awarded: 0 pts
19:19:46.629: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.637: Awarded: 0 pts
19:19:46.640: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.644: Awarded: 6 pts
19:19:46.648: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.651: Awarded: 6 pts
19:19:46.767: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.770: Awarded: 0 pts
19:19:46.773: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.778: Awarded: 6 pts
19:19:46.780: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.784: Awarded: 0 pts
19:19:46.786: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.788: Awarded: 0 pts
19:19:46.796: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.803: Awarded: 6 pts
19:19:46.807: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.809: Awarded: 6 pts
19:19:46.859: Message received: teamAwesome,p@55w04d,1,HH88
19:19:46.862: Awarded: 0 pts
19:19:46.864: Message received: teamAwesome,p@55w04d,2,MW25
19:19:46.866: Awarded: 6 pts
19:19:46.869: Message received: teamAwesome,p@55w04d,3,HH88
19:19:46.872: Awarded: 0 pts
19:19:46.878: Message received: teamAwesome,p@55w04d,4,AH77
19:19:46.881: Awarded: 0 pts
19:19:46.884: Message received: teamAwesome,p@55w04d,5,HA91
19:19:46.893: Awarded: 6 pts
19:19:46.895: Message received: teamAwesome,p@55w04d,6,PV49
19:19:46.900: Awarded: 6 pts
19:19:47.072: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.075: Awarded: 0 pts
19:19:47.078: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.082: Awarded: 6 pts
19:19:47.087: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.092: Awarded: 0 pts
19:19:47.098: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.104: Awarded: 0 pts
19:19:47.106: Message received: teamAwesome,p@55w04d,5,HA91
19:19:47.112: Awarded: 6 pts
19:19:47.118: Message received: teamAwesome,p@55w04d,6,PV49
19:19:47.121: Awarded: 6 pts
19:19:47.163: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.165: Awarded: 0 pts
19:19:47.168: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.170: Awarded: 6 pts
19:19:47.172: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.180: Awarded: 0 pts
19:19:47.183: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.190: Awarded: 0 pts
19:19:47.195: Message received: teamAwesome,p@55w04d,5,HA91
19:19:47.200: Awarded: 6 pts
19:19:47.204: Message received: teamAwesome,p@55w04d,6,PV49
19:19:47.209: Awarded: 6 pts
19:19:47.323: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.325: Awarded: 0 pts
19:19:47.327: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.333: Awarded: 6 pts
19:19:47.337: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.340: Awarded: 0 pts
19:19:47.343: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.350: Awarded: 0 pts
19:19:47.356: Message received: teamAwesome,p@55w04d,5,HA91
19:19:47.361: Awarded: 6 pts
19:19:47.368: Message received: teamAwesome,p@55w04d,6,PV49
19:19:47.376: Awarded: 6 pts
19:19:47.406: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.409: Awarded: 0 pts
19:19:47.411: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.412: Awarded: 6 pts
19:19:47.414: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.420: Awarded: 0 pts
19:19:47.423: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.425: Awarded: 0 pts
19:19:47.427: Message received: teamAwesome,p@55w04d,5,HA91
19:19:47.430: Awarded: 6 pts
19:19:47.434: Message received: teamAwesome,p@55w04d,6,PV49
19:19:47.437: Awarded: 6 pts
19:19:47.548: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.550: Awarded: 0 pts
19:19:47.552: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.558: Awarded: 6 pts
19:19:47.563: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.567: Awarded: 0 pts
19:19:47.577: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.582: Awarded: 0 pts
19:19:47.586: Message received: teamAwesome,p@55w04d,5,HA91
19:19:47.597: Awarded: 6 pts
19:19:47.604: Message received: teamAwesome,p@55w04d,6,PV49
19:19:47.609: Awarded: 6 pts
19:19:47.637: Message received: teamAwesome,p@55w04d,1,HH88
19:19:47.639: Awarded: 0 pts
19:19:47.641: Message received: teamAwesome,p@55w04d,2,MW25
19:19:47.644: Awarded: 6 pts
19:19:47.648: Message received: teamAwesome,p@55w04d,3,HH88
19:19:47.654: Awarded: 0 pts
19:19:47.663: Message received: teamAwesome,p@55w04d,4,AH77
19:19:47.671: Awarded: 0 pts
